Doc ID,Clinical Trial,Multicenter Study,Comparative Study,Randomized Controlled Trial,Non-U.S. Gov't,"N.I.H., Extramural",Letter,Non-P.H.S.,Pragmatic Clinical Trial,Observational Study,Phase I,Phase II,Phase III,Phase IV,pval-1,pval-2,pval-3,pval-4,pval-5,n-1,n-2,n-3,n-4,n-5,funding-1,funding-2,funding-3,funding-4,funding-5,sections,characters,words,sentences,chars-per-word-mean,chars-per-word-stdev,words-per-sentence-mean,words-per-sentence-stdev,syallables-per-word-mean,syallables-per-word-stdev,ARI,hard-word-ratio,lexical-density,gunning-fog-index,coleman-liau-index,SMOG,flesch-kincaid-index
10560672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kathleen Cuningham Foundation,Fertility Society of Australia,Anti-Cancer Council of Victoria,National Health and Medical Research Council,0,16,23762,4249,135,4.720640150623677,3.160319235331581,31.474074074074075,21.11370412634341,1.3746763944457518,1.0461871082973595,17.619999999999997,0.159331607437044,0.2045187102847729,12.653362272604447,12.62330901388562,15.922099587447988,58.59119184470423
12767566,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,124,251,0,0,0,0,0,0,0,0,10,16010,2889,118,4.6673589477327795,3.25951260465958,24.483050847457626,12.472693628052953,1.2962962962962963,1.0221125293150652,14.119999999999997,0.14330218068535824,0.24195223260643822,9.850541211257195,12.500173070266527,13.829600772377944,72.31803672316386
11578887,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.03,0.01,0.04,0.02,0.008,0,0,0,0,0,Glaxo Wellcome `,Department of Anesthesiology,0,0,0,15,19554,3484,121,4.733352468427095,3.3440518644300483,28.793388429752067,13.86777881479937,1.3645235361653272,1.097346936317678,16.119999999999997,0.18857634902411022,0.19345579793340986,11.592785911510472,12.760057405281284,16.440843336661693,62.17101958421499
10023893,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,213,0,0,0,NHS,Department of Health Care,0,0,0,23,18259,3219,118,4.783473128300715,3.318782863112307,27.279661016949152,17.90424940880392,1.4196955576265922,1.0638718151343773,15.619999999999997,0.18080149114631874,0.2805219012115564,10.984185003238188,13.095159987573783,15.816289435123597,59.03989989258693
10899490,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oss,NV Organon,0,0,0,19,29932,5488,164,4.656705539358601,3.5095545920659363,33.46341463414634,37.2173833393022,1.1854956268221575,1.0467605824282913,18.619999999999997,0.14486151603498543,0.18494897959183673,13.443310460072531,12.207784256559766,15.706954777054907,72.57670411718695
10561675,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyeth-Ayerst Research,0,0,0,0,15,20128,3482,117,4.896898334290637,3.3455577746213976,29.76068376068376,14.031153498339261,1.3449167145318783,1.0251360453887208,16.619999999999997,0.1504882251579552,0.1639862148190695,11.964468794336687,13.698047099368175,15.21885913314388,62.84795193350908
12767646,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.24,0.01,0.001,0.75,0.02,0,0,0,0,0,Multi-Specialty Research Associates,Veterans Affairs Medical Center,Lindner Clinical Trial Center,Harbor-UCLA Research and Education Institute,New Orleans Center for Clinical Research,24,29861,5388,127,4.726243504083148,3.434372633110209,42.425196850393704,89.38498148814232,1.3008537490720118,1.1134061318663064,23.119999999999997,0.1675946547884187,0.22661469933184855,17.03711660207285,12.484357832219747,18.36215290695669,53.72119802535822
11578894,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0.004,0.003,0.88,30,0,0,0,0,0,0,0,0,0,9,15957,2767,123,4.877123238164077,3.20972299871501,22.495934959349594,12.50663691591607,1.3841705818576076,1.0483153338298594,13.119999999999997,0.16841344416335383,0.25406577520780627,9.065739361405178,13.809208529092881,14.248602028681574,66.90079479110658
10899492,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upjohn,0,0,0,0,14,24401,4540,187,4.512114537444934,3.144053150600425,24.27807486631016,13.203034049107492,1.3601321585903083,1.0942309461205713,14.119999999999997,0.15528634361233482,0.19008810572687224,9.773344483968998,11.594563876651982,14.221325525668846,67.12557339395511
10563400,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14150,2403,99,5.017894298793175,3.502599875650433,24.272727272727273,16.02664756840942,1.3724511027881814,1.118253719446635,14.119999999999997,0.17311693716188098,0.2983770287141074,9.778337683955662,14.568739076154806,14.839561316379651,66.0888185223017
11959338,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,34,13,0,0,0,0,0,0,10,21149,3806,119,4.724908039936942,3.6241625510639683,31.983193277310924,20.203197931657176,1.2698370993168682,1.1135656552974247,17.619999999999997,0.1678928008407777,0.19705727798213346,12.86043443126068,12.637803468208094,16.36708498528338,66.94384022132238
12772108,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,32,0,0,0,Physicians Services Incorporated Foundation,0,0,0,0,11,16607,2785,111,5.066068222621185,3.398563096842184,25.09009009009009,18.61648807303967,1.4114901256732495,1.0388398907807483,14.619999999999997,0.1637342908438061,0.2161579892280072,10.101529752373558,14.823870736086178,14.707961728119866,61.95649392660167
10027428,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0.0396,0.6924,0.2105,0.0071,0.0086,0,0,0,0,0,Albuterol Spiros Study Group,Dura Pharmaceuticals ` Inc,0,0,0,20,29380,5440,160,4.520036764705883,3.146710402378087,34.0,20.55396333569347,1.2474264705882352,1.013904058602387,19.119999999999997,0.134375,0.1505514705882353,13.65375,11.394286764705885,15.339886361348722,66.79272058823533
10899655,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0.013,0.002,0.004,0.001,0.028,283,0,0,0,0,0,0,0,0,0,12,16863,3047,110,4.683951427633738,3.2358914041602045,27.7,23.782867166138765,1.2333442730554645,1.013019509399278,15.619999999999997,0.13357400722021662,0.2943879225467673,11.133429602888086,12.498313094847386,14.117786864225405,74.37857449950772
11579351,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,238,27,0,Heart and Stroke Foundation,0,0,0,0,12,22058,3819,128,4.894213144802304,3.468758347169552,29.8359375,20.914440380679753,1.3220738413197173,1.0297081374232773,16.619999999999997,0.15606179628174915,0.2838439382037182,11.9967997185127,13.68048180151872,15.456261359676443,64.70407646185194
11211889,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.16,0.34,0.05,0.54,0.13,109,0,0,0,0,0,0,0,0,0,18,22281,4030,154,4.691563275434243,3.378703878497862,26.16883116883117,15.027123709842735,1.2369727047146402,1.101671266060344,15.119999999999997,0.14491315136476426,0.1955334987593052,10.525497728078374,12.587344913151362,14.253868925077214,75.62574554477781
11965274,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperial Cancer Research Fund,Medical Research Council,National Health Service,KeyMed,0,19,43140,8121,224,4.487378401674671,3.382018451119709,36.254464285714285,31.138234793890234,1.2371629109715552,0.9930789683841675,20.119999999999997,0.14801132865410663,0.19923654722324838,14.560990245747357,11.163920699421254,16.362552426521205,65.37273648180644
10028980,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,National Institute of Allergy,National Institute of Child Health and Development,US National Institutes of Health,Rockefeller Foundation,World Bank Uganda STI Project,20,51406,8869,269,4.933927162025031,3.445550452434185,32.97026022304833,19.964498536094087,1.324388318863457,1.0698619133339033,18.119999999999997,0.17172172736497915,0.19167888149735032,13.256792780165325,13.84721614612696,16.722207373478458,61.32693409775749
11580908,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,55,40,50,10,0,0,0,0,0,0,14,18251,3215,129,4.838569206842924,3.574577377570159,24.92248062015504,16.373383700336642,1.294556765163297,1.0880223440954873,14.119999999999997,0.1598755832037325,0.19129082426127528,10.03294248134351,13.491794712286158,14.532428624613527,72.01917983772772
12464864,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28931,4958,192,4.978822105687778,3.65974608963631,25.822916666666668,23.03423120391308,1.2547398144413069,1.0705873905627654,14.619999999999997,0.14501815248083905,0.2063331988705123,10.387173927659004,14.287156111335218,14.184100501752589,74.47375128159878
12464949,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,0,0,USHH-Merck and Co ` Inc,Merck and Co ` Inc,Whitehouse Station,0,0,21,23917,4282,125,4.743344231667445,3.476719897428786,34.256,38.10679052178191,1.250817375058384,0.9945650234819952,19.119999999999997,0.1384866884633349,0.2501167678654834,13.757794675385336,12.70272769733769,15.571875802850421,66.24601007006075
11583720,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.07,0.01,0.0001,0.05,0.001,91,100,0,0,0,0,0,0,0,0,15,26540,4488,173,5.061274509803922,3.6515900017461003,25.942196531791907,13.69676204422178,1.3146167557932265,1.1070655621975138,14.619999999999997,0.16399286987522282,0.1873885918003565,10.442475760666852,14.76824420677362,14.912233316374088,69.28709298012427
12776266,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.254,0.821,0.069,0.009,0.048,0,0,0,0,0,0,0,0,0,0,16,19220,3488,92,4.6327408256880735,3.2890804468344865,37.91304347826087,18.829280549720078,1.2325114678899083,0.9629760964294258,20.619999999999997,0.13331422018348624,0.1811926605504587,15.218543079377742,11.99336009174312,15.972425770524783,64.08279068607901
10037386,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0005,0.01,0.033,0.0191,0.0013,103,0,0,0,0,0,0,0,0,0,17,22630,4028,161,4.750248262164846,3.3805396186364507,25.018633540372672,13.417093598135104,1.2609235352532273,1.0371002643872729,14.619999999999997,0.17030784508440913,0.182720953326713,10.075576554182833,12.969235352532273,14.921278800779998,74.76695587409874
12465020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9282,1562,69,5.0332906530089625,3.1262428801729123,22.63768115942029,12.487606814584982,1.4475032010243278,0.9779894970213897,13.119999999999997,0.18758002560819462,0.31049935979513443,9.130104474011395,14.72163892445582,14.901206992525946,61.39898281653029
10904122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.031,0.002,0.041,0.0022,0.0133,35,38,42,0,0,0,0,0,0,0,12,17804,3236,112,4.662546353522868,3.316927714711365,28.892857142857142,19.81507167882735,1.2067367119901113,0.9902675118973124,16.119999999999997,0.14245982694684797,0.24011124845488258,11.614126787921597,12.341211372064276,14.719178758360531,75.41882416563661
11583721,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12436,2267,87,4.661226290251434,3.6709194366742692,26.057471264367816,13.139495851933711,1.1376268195853552,1.0850245713054394,15.119999999999997,0.11601235112483459,0.23820026466696073,10.46939344619706,12.412386413762682,13.061705433100379,84.14343772974564
11211909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25877,4886,183,4.480556692591077,3.4730620874400273,26.69945355191257,18.015071054086043,1.0489152681129759,1.0414213994029866,15.119999999999997,0.12627916496111338,0.1788784281620958,10.730293086749473,11.330708145722475,13.618773556001415,90.99682296245099
11973011,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.004,0.005,0.001,0.56,0,76,0,0,0,0,0,0,0,0,0,24,26026,4605,166,4.786970684039088,3.3928944712976703,27.740963855421686,14.043624984373377,1.3420195439739413,1.091369653958654,15.619999999999997,0.1563517915309446,0.24169381107491858,11.158926258781053,13.102948968512486,15.026639079346548,65.14306826655157
12781165,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.001,0.05,0.07,0.01,0.06,50,48,45,564,156,0,0,0,0,0,24,21889,4044,163,4.569238377843719,3.123305407633962,24.809815950920246,14.099974672615053,1.281899109792285,0.9529724547325894,14.119999999999997,0.1327893175074184,0.24678536102868448,9.977042107371066,11.91194856577646,13.498133472478244,73.20437212138867
12468136,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10050,1716,71,4.93997668997669,3.348453156568023,24.169014084507044,13.401477440398617,1.4137529137529137,1.08366261398936,14.119999999999997,0.17016317016317017,0.30186480186480186,9.735670901868087,14.114289044289041,14.71439740905852,62.69995420072887
10568855,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.001,0.01,0.06,0.02,0.46,49,43,0,0,0,0,0,0,0,0,11,12783,2328,91,4.663659793814433,3.2027629360944525,25.582417582417584,20.437474259075017,1.3483676975945018,1.0706628440036499,14.619999999999997,0.16151202749140894,0.29510309278350516,10.297571843963597,12.441632302405498,14.741397725322859,66.79693893735131
11583728,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.004,0.05,0.0001,0,16,0,0,0,0,0,0,0,0,0,16,12750,2216,104,4.8921480144404335,3.5327058401812974,21.307692307692307,10.11878664497588,1.3014440433212997,1.0682879405443024,12.619999999999997,0.14711191335740073,0.3348375451263538,8.581921688419882,13.949512635379058,13.243428763993872,75.10552624271038
11214126,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,212,0,0,0,Rotta Research Group,0,0,0,0,19,24689,4128,124,5.087936046511628,3.427927294729163,33.29032258064516,26.000242085661082,1.4098837209302326,1.0557867285677789,18.619999999999997,0.1693313953488372,0.25847868217054265,13.383861590397599,14.746676356589148,16.692628400135796,53.76915978994751
11973012,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.68,0.25,0.02,0.05,0.95,17,30,0,0,0,0,0,0,0,0,20,24079,4338,167,4.701936376210235,3.2524127272544323,25.976047904191617,20.908565171715157,1.25979714153988,0.9712844441886322,14.619999999999997,0.13946519133241125,0.25011526048870447,10.446205238209613,12.654283079760258,14.002475534257151,73.89047320297165
12781926,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.01,0.001,0.08,0.05,0,128,768,0,0,0,US Agency for International Development,0,0,0,0,24,44431,7621,268,4.968901718934523,3.3146780405916667,28.436567164179106,14.672443743288524,1.4492848707518697,1.0875125971153936,16.119999999999997,0.1699252066657919,0.18737698464768404,11.44259694833796,14.154221230809604,15.686867063431421,55.36238426275004
12468166,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0,0,0,Pfizer,0,0,0,0,8,50414,8495,236,5.060270747498529,3.5158349012231227,35.99576271186441,32.71404121485582,1.4072984108299,1.0567560037381525,19.619999999999997,0.1842260153031195,0.16586227192466158,14.47199549086701,14.536682754561507,17.840232437196864,51.2418552912481
10906499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,28,30274,5314,205,4.847760632292059,3.3935046722209385,25.921951219512195,15.99337350824022,1.276627775686865,1.0458320337769433,14.619999999999997,0.14885208882197967,0.16955212645841175,10.42832132333367,13.513413624388406,14.350737802727807,72.52150968908639
10568870,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.17,0.002,0.001,0.0003,10,0,0,0,0,0,0,0,0,0,23,50224,8761,392,4.835406917018605,3.110313099509385,22.349489795918366,13.14089689079573,1.4336262983677663,1.0173075993912986,13.119999999999997,0.1593425408058441,0.18548110946239013,9.003532934689686,13.570021687022027,13.9097416784902,62.86548301522984
11216737,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14635,2519,114,4.9229853116316,3.363416883709287,22.096491228070175,11.36752811934812,1.3378324732036522,1.1099951681786266,13.119999999999997,0.16752679634775705,0.2187375942834458,8.905607209767174,14.09572052401747,14.120391744400486,71.2264341704798
11973116,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.08,0.056,0.05,0.01,0.10,178,172,216,246,32,Axson Johnsons Foundation,Vardal Foundation,0,0,0,32,31557,5637,229,4.713145290047898,3.233111273211764,24.61572052401747,12.616159125480518,1.312045414227426,1.0083490825155261,14.119999999999997,0.14635444385311336,0.1637395777896044,9.904829987148233,12.76478268582579,13.972217622790016,70.85100162448205
12781927,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.022,0.001,0.052,0.014,0.002,30,45,0,0,0,Institute of Medicine report Speaking of Health : Assessing Health Communication Strategies for Diverse Populations,National Academy Press,0,0,0,17,16439,3011,101,4.621056127532381,3.3001875030549948,29.81188118811881,18.27277366536736,1.2573895715709067,0.9574056580601168,16.619999999999997,0.13716373297907672,0.2769843905679176,11.979617968439156,12.074885420126204,14.681155712647804,70.20078283916074
12468168,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16440,2949,105,4.685995252628009,3.1890475520109476,28.085714285714285,19.335158433494968,1.3167175313665649,1.0116339296374266,16.119999999999997,0.14445574771108852,0.20956256358087488,11.29206801337015,12.499938962360119,14.635913807479461,66.93369684638863
10906500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,Development and Research Training in Human Reproduction World Health Organization,0,0,0,0,9,18777,3317,128,4.8010250226107924,3.440458410687458,25.9140625,19.732074430198608,1.3708170033162497,1.054912377734734,14.619999999999997,0.1582755501959602,0.2276153150437142,10.428935220078385,13.238854386493816,14.698733525824185,64.56110808194529
10570388,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M Pharmaceuticals,0,0,0,0,16,15012,2645,97,4.791682419659735,3.387048003866571,27.2680412371134,20.69949449056542,1.2669187145557657,0.9916480649620956,15.619999999999997,0.14669187145557655,0.3005671077504726,10.965893243427592,13.143758034026462,14.554592549557764,71.97661489291214
11588740,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,13,11787,1972,85,5.130324543610548,3.6639332964116518,23.2,10.799911816218462,1.518762677484787,1.3158958339389042,13.619999999999997,0.20385395537525355,0.3301217038539554,9.361541582150101,15.269756592292087,15.552729733886384,54.799677484787026
11216738,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,202,0,0,0,0,0,0,0,0,0,12,24583,4223,141,4.9609282500592,3.4455414438274303,29.95035460992908,16.783634137854463,1.3469097797774094,1.0766498130870255,16.619999999999997,0.1605493724840161,0.16623253611176889,12.044361592965238,14.070082879469574,15.6561908307097,62.486822701753155
12781936,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29923,5394,231,4.669076751946608,3.1918187068175388,23.350649350649352,12.048560693871355,1.3442714126807565,0.9774993842300356,13.619999999999997,0.15943641082684465,0.22135706340378197,9.40403430459048,12.551790878754172,14.15180466726829,69.40872939629894
11978282,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19362,3369,134,4.8774116948649455,3.3769676691308277,25.14179104477612,15.330029984459605,1.2980112793113683,1.0650750382711316,14.619999999999997,0.16503413475808845,0.2920747996438112,10.122730071813685,13.712852478480261,14.765802525700387,71.5043278598105
10064663,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,Janssen-Cilag Pty Ltd,0,0,0,0,13,16616,2973,98,4.721493440968718,3.3080612706687553,30.336734693877553,16.450452867235434,1.3565422132526068,1.0514737089598263,17.119999999999997,0.16582576522031617,0.2606794483686512,12.201024183639149,12.653292970063905,15.942233691646237,61.279743044543764
10906502,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,49,99,0,0,0,0,0,0,0,0,12,13520,2441,91,4.666530110610406,3.364505877420246,26.824175824175825,16.29764359694943,1.2957804178615322,1.1015114459692876,15.119999999999997,0.14543219991806636,0.2535845964768538,10.787843209637558,12.420581728799672,14.41245925838782,69.98543818737592
11589975,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.229,0.372,0,0,0,50,0,0,0,0,0,0,0,0,0,10,15317,2713,114,4.777368227054921,3.398416819127233,23.79824561403509,14.108417009828237,1.2318466642093624,1.015172859894116,13.619999999999997,0.14338370807224474,0.2657574640619241,9.576651728842934,13.171662366384076,13.681890364338912,78.46555290964234
11216739,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,16,9561,1634,82,4.976132190942472,3.537228231427025,19.926829268292682,10.905633936215619,1.2931456548347613,1.0701551773161644,11.619999999999997,0.15973072215422277,0.37025703794369647,8.034623996178762,14.511505507955931,13.321072971352528,77.20914589366214
12782431,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12890,2309,76,4.699003897791251,3.275070461686941,30.38157894736842,17.37735469340345,1.3382416630576006,1.0685319756736156,17.119999999999997,0.15201385881333912,0.3126894759636206,12.213437122472705,12.520034647033345,15.406084227021157,62.782452673748054
11978287,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,University of Washington,State University of New York/Buffalo,University of Hawaii/Manoa,University of Rochester Medical Center,Kings County Hospital Center,8,30169,5081,191,5.054516827396182,3.527336965847259,26.602094240837697,18.85174278727004,1.3528832906908088,1.0918542368176354,15.119999999999997,0.17181657154103522,0.21176933674473528,10.709564324951494,14.708466837236763,15.34246606032752,65.37994795310735
